Synonyms	Symbol	Chromosome
AKT2	AKT2	19
HIHGHH	AKT2	19
PKBB	AKT2	19
PKBBETA	AKT2	19
PRKBB	AKT2	19
RAC-BETA	AKT2	19
ALAD	ALAD	9
ALADH	ALAD	9
PBGS	ALAD	9
ALAS1	ALAS1	3
ALAS	ALAS1	3
ALAS-H	ALAS1	3
ALAS3	ALAS1	3
ALASH	ALAS1	3
MIG4	ALAS1	3
ALAS2	ALAS2	X
ALAS-E	ALAS2	X
ALASE	ALAS2	X
ANH1	ALAS2	X
ASB	ALAS2	X
SIDBA1	ALAS2	X
XLDPP	ALAS2	X
XLEPP	ALAS2	X
XLSA	ALAS2	X
ALB	ALB	4
HSA	ALB	4
PRO0883	ALB	4
PRO0903	ALB	4
PRO1341	ALB	4
ALCAM	ALCAM	3
CD166	ALCAM	3
MEMD	ALCAM	3
ABCD1	ABCD1	X
ABC42	ABCD1	X
ALD	ABCD1	X
ALDP	ABCD1	X
AMN	ABCD1	X
ALDH1A1	ALDH1A1	9
ALDC	ALDH1A1	9
ALDH-E1	ALDH1A1	9
ALDH1	ALDH1A1	9
ALDH11	ALDH1A1	9
HEL-9	ALDH1A1	9
HEL-S-53e	ALDH1A1	9
HEL12	ALDH1A1	9
PUMB1	ALDH1A1	9
RALDH1	ALDH1A1	9
ALDH2	ALDH2	12
ALDH-E2	ALDH2	12
ALDHI	ALDH2	12
ALDM	ALDH2	12
ALDH3A1	ALDH3A1	17
ALDH3	ALDH3A1	17
ALDHIII	ALDH3A1	17
ALDH1B1	ALDH1B1	9
ALDH5	ALDH1B1	9
ALDHX	ALDH1B1	9
ALDH1A3	ALDH1A3	15
ALDH1A6	ALDH1A3	15
ALDH6	ALDH1A3	15
MCOP8	ALDH1A3	15
RALDH3	ALDH1A3	15
ALDH3B1	ALDH3B1	11
ALDH4	ALDH3B1	11
ALDH7	ALDH3B1	11
ALDH3B2	ALDH3B2	11
ALDH8	ALDH3B2	11
ALDH9A1	ALDH9A1	1
ALDH4	ALDH9A1	1
ALDH7	ALDH9A1	1
ALDH9	ALDH9A1	1
E3	ALDH9A1	1
TMABADH	ALDH9A1	1
ALDH3A2	ALDH3A2	17
ALDH10	ALDH3A2	17
FALDH	ALDH3A2	17
